Offset,L=Lcav,S11 Re,S11 Im,S21 Re,S21 Im,Z11 Re,Z11 Im,Z12 Re,Z12 Im,Rself,Xself,Gself,Bself,Re[Vcav],Im[Vcav],Re[Vrad],Im[Vrad],|rho|,arg(rho),Column1,Column2
0.7375,15.8296,-0.00731148,-9.20182E-05,0.99269795,-0.00137489,67.24710196,-6.800140663,67.24710708,-6.800782092,-5.12646E-06,0.000641429,0.014719979,0.001488649,2.0557807,-3.4501864,0.50476599,-3.9597061,0.99390707,-23.5238084,,
0.7375,15.8784,-0.007751572,0.000141942,0.99225283,-0.001120538,63.76515911,-4.057408556,63.76516171,-4.058039793,-2.59936E-06,0.000631237,0.015619285,0.000994017,1.9361001,-3.6496205,0.31644121,-4.0953728,0.994241755,-23.52731125,,
0.7375,15.9272,-0.008181963,0.000431177,0.99181998,-0.000812656,60.58407989,-1.423864304,60.58408125,-1.424486219,-1.35843E-06,0.000621915,0.016496866,0.000387883,1.7895236,-3.8406237,0.10681106,-4.216671,0.995504178,-23.5319518,,
0.7375,15.976,-0.008592766,0.000776113,0.9914089,-0.000450505,57.67323632,1.102599839,57.67323753,1.101986531,-1.20895E-06,0.000613308,0.017332737,-0.000331184,1.6168944,-4.0192974,-0.12224689,-4.3185537,0.997218996,-23.53553683,,
0.7375,16.0248,-0.008973875,0.001175441,0.99102926,-3.49702E-05,55.0028339,3.527786664,55.00283583,3.527181461,-1.93382E-06,0.000605203,0.018106422,-0.001161115,1.421716,-4.1877642,-0.36830777,-4.3976014,0.997847824,-23.53944401,,
0.7375,16.0736,-0.009315079,0.001625416,0.99069084,0.000430583,52.54699683,5.856353945,52.54700015,5.855756532,-3.31619E-06,0.000597412,0.018797149,-0.002094725,1.2031924,-4.3346186,-0.62771695,-4.4498809,0.998983458,-23.54283419,,
0.7375,16.1224,-0.009606379,0.002119546,0.99040117,0.000938951,50.28130413,8.087398221,50.28130826,8.086807929,-4.12308E-06,0.000590293,0.019386638,-0.003117978,0.96513614,-4.4567913,-0.89600934,-4.4728758,1.000359988,-23.54655466,,
0.7375,16.1712,-0.0098404,0.002649736,0.99017041,0.001484252,48.18828928,10.23297568,48.18829502,10.23239294,-5.74445E-06,0.000582735,0.019856611,-0.00421639,0.71203791,-4.5533166,-1.1681678,-4.4647727,1.001390796,-23.55006265,,
0.7375,16.22,-0.010010741,0.003205326,0.99000374,0.002055128,46.25051834,12.2924323,46.25052591,12.29185721,-7.57118E-06,0.000575091,0.020194965,-0.005367152,0.4485225,-4.6199565,-1.4384994,-4.4250383,1.002435492,-23.55350923,,
0.7375,16.2688,-0.010113865,0.003774587,0.98990443,0.002639952,44.45304848,14.26852562,44.45305794,14.26795831,-9.46926E-06,0.000567307,0.020394595,-0.006545989,0.1800582,-4.655382,-1.7013849,-4.3544457,1.00347026,-23.55671219,,
0.7375,16.3176,-0.010149129,0.004345366,0.98987303,0.003226626,42.78288827,16.16402609,42.78289966,16.16346674,-1.13923E-05,0.000559357,0.020454294,-0.007727674,-0.087749168,-4.6591293,-1.9517049,-4.2552351,1.004617254,-23.56004616,,
0.7375,16.3664,-0.010118712,0.004905929,0.98990741,0.003803269,41.22897744,17.98159939,41.22899081,17.98104807,-1.33648E-05,0.000551316,0.020378635,-0.008887659,-0.34959786,-4.6338818,-2.184946,-4.1305238,1.005544615,-23.56330399,,
0.7375,16.4152,-0.010027277,0.005445714,0.99000293,0.004358924,39.78188695,19.72373028,39.78190235,19.7231869,-1.53985E-05,0.000543378,0.020177432,-0.010003626,-0.60057864,-4.5795686,-2.3976041,-3.9843284,1.006779462,-23.5664831,,
0.7375,16.464,-0.009880195,0.005957908,0.99014881,0.004887449,38.42180286,21.39364226,38.42181765,21.39310705,-1.47887E-05,0.000535214,0.019867519,-0.011062152,-0.83808473,-4.5016754,-2.5880633,-3.8202857,1.007724726,-23.56966856,,
0.7375,16.5128,-0.00968753,0.006431707,0.99034516,0.005376534,37.16316925,22.9930965,37.16318587,22.99256893,-1.66228E-05,0.000527569,0.019459604,-0.012039503,-1.057015,-4.4036496,-2.753429,-3.644635,1.00862529,-23.57267426,,
0.7375,16.5616,-0.009458338,0.006862757,0.99057812,0.005823501,35.99028914,24.51932713,35.99030764,24.51880752,-1.84987E-05,0.000519609,0.018977484,-0.012928627,-1.2554879,-4.2890045,-2.8937597,-3.4619179,1.009639971,-23.57575251,,
